name,unit_id,tier,cost_gold,food,upgrades_from,upgrades_to,traits,targets,atk1_min,atk1_max,atk1_mean,atk1_cooldown,atk1_range,atk1_type,atk1_dps,atk2_min,atk2_max,atk2_mean,atk2_cooldown,atk2_range,atk2_type,atk2_dps,splash_targets,armour_type,armour_value,hp,cost_lumber,atk1_weapon,atk1_base,atk1_dice,atk1_sides,atk1_type_resolved,base_unit,abilities,tooltip,atk2_base,atk2_dice,atk2_sides,sources,obs_owner_label,obs_notes,dps_raw,crit_multiplier,dps_with_crit,dps_per_gold,coverage_vs_725,dps_per_gold_coverage_adj,on_hit_dps,dot_dps,dps_total_est,dps_per_gold_x_range
Poison Shrine,h01F,1,235,0,,Poison Dragon,Air Critical Strike II; Slow Poison II,"air,enemies,ground,nonancient",190,190,190.0,0.5,1100,magic,380.0,,,,,,,,,,1,2000,0,missile,189,1,1,magic,hhou,"A028,A006,A008",Build Poison Shrine ( D ),,,,,D7,"Stats not captured. NOTE: the two T2 branches are NOT dead ends - each opens its own late tower, so the ""exclusive fork"" may be a fork in TIMING rather than a permanent lockout. Unverified.",380,2.50,950.0,4.20,2.30,9.66,,36,986.0,6.37
Poison Dragon,h01E,2,320,0,Poison Shrine,,(Dummy Ability - Life Steal) (Aabr); Slow Poison II,"air,enemies,ground,nonancient",2400,2400,2400.0,1.8,1200,chaos,1333.3,,,,,,,,,,0,2250,0,instant,2399,1,1,chaos,hhou,"Aabr,A028,A008",U pgrade to Poison Dragon,,,,,D7,Name only.,1333.3,1.00,1333.3,4.28,2.74,11.72,,36,1369.3,7.08
Frozen Reaper,h01N,1,500,0,,,Splash; Versatile Critical Strike I; Frost II,"air,enemies,ground,nonancient",699,704,701.5,0.6,700,magic,1169.2,,,,,,,,"air,enemies,ground,nonancient",,3,2500,0,msplash,698,1,6,magic,hhou,"A028,A021,A004,A002",Build Frozen Reaper ( F ),,,,,D8,Convergent unlock across BOTH T2 branches.,1169.2,1.52,1783.0,3.57,0.93,3.32,,,1783.0,3.44
Teenage Roc,h01D,1,195,0,,Havocwing,Bash I (ANbh); Air Critical Strike I; Slow Poison I (Aspo),"air,enemies,ground,nonancient",326,326,326.0,0.5,125,chaos,652.0,,,,,,,,,,2,1750,0,normal,325,1,1,chaos,hhou,"ANbh,A005,A028,Aspo",Build Teenage Roc ( Z ),,,,,D9,"CORRECTED 2026-09-05: ""Tempest Base"" is a TOWER, and this hero has NO base upgrade (owner). An earlier note here read it as the hero base acting as a tech gate, by analogy with the Royal Family's Royal Base II - that analogy was wrong. Base upgrades are a PER-HERO feature, not a system rule. FIVE requirements - the widest gate recorded in any kit. Owner wrote ""Teannage roc"".",652,1.25,815.0,4.30,0.03,0.13,20.0,4,839.0,0.74
Havocwing,h01C,2,230,0,Teenage Roc,,Thresh Arrow (ACca),"air,enemies,ground,nonancient",,,,,,,,,,,,,,,,,3,2000,,,,,,,,,,,,,,D9,"Slot inferred, not observed. The kit rule is ""each tower has at most ONE upgrade, and that upgrade unlocks a new tower type"" - Havoc Wing is a REQUIREMENT of Death Shrine (T10) and sits between T9 and T10, so it is most likely Teenage Roc's upgrade. VERIFY.",,1.00,,,,,,,,
Death Shrine,h01K,1,245,0,,Death Dragon,Air Critical Strike II,"air,enemies,ground,nonancient",400,400,400.0,1.0,800,magic,400.0,,,,,,,,,,3,2500,0,missile,399,1,1,magic,hhou,"A028,A006",Build Death Shrine ( X ),,,,,D10,"CORRECTED 2026-09-05: ""Tempest Base"" is a TOWER, and this hero has NO base upgrade (owner). An earlier note here read it as the hero base acting as a tech gate, by analogy with the Royal Family's Royal Base II - that analogy was wrong. Base upgrades are a PER-HERO feature, not a system rule. WAVE-GATED at 20, like the treant Warpath. Second confirmation that wave gates are a cross-hero system.",400,2.50,1000.0,4.08,1.22,4.97,,,1000.0,4.50
Death Dragon,h01L,2,390,0,Death Shrine,,Air Barrage; Death Strike,"enemies,ground,nonancient",666,666,666.0,7.0,1000,chaos,95.1,1000,1000,1000.0,0.5,1000,chaos,2000.0,,,4,2750,0,instant,665,1,1,chaos,hhou,"A000,A028,A001",U pgrade to Death Dragon,999,1,1,,D10,"Slot inferred, not observed. Death Dragon is a REQUIREMENT of The Fallen (T11) and sits between T10 and T11, so it is most likely Death Shrine's upgrade. The owner listed ""death dragon 700g"" adjacently, so the 700g may belong to THIS tower rather than to The Fallen. VERIFY both.",95.1,1.00,95.1,0.24,1.90,0.46,,,95.1,0.34
The Fallen,h01O,1,700,1,,Jenovaroth,Air Critical Strike II,"air,enemies,ground,nonancient",5876,5881,5878.5,0.9,1100,magic,6531.7,,,,,,,,,,,3000,0,missile,5875,1,6,magic,hhou,"A028,A006",Build The Fallen ( C ),,,,,D11,"CORRECTED 2026-09-05: ""Tempest Base"" is a TOWER, and this hero has NO base upgrade (owner). An earlier note here read it as the hero base acting as a tech gate, by analogy with the Royal Family's Royal Base II - that analogy was wrong. Base upgrades are a PER-HERO feature, not a system rule. THE CAPSTONE. 700g, and the cost may instead belong to Death Dragon - the owner listed them adjacently. Likely the ""700g unique (upgrade cost 800g)"" the owner reported succeeding with, since this hero also has the 15g starter they mentioned; INFERENCE, not stated.",6531.7,2.50,16329.2,23.33,2.30,53.70,,,16329.2,35.39
Jenovaroth,h01P,2,800,1,The Fallen,,Slow Poison II; Air Critical Strike II,"air,enemies,nonancient",5201,5208,5204.5,0.6,1400,magic,8674.2,976,988,982.0,,1400,chaos,,,,7,3500,0,missile,5200,1,8,magic,hhou,"A028,A008,A006",U pgrade to Jenovaroth,975,1,13,,,,8674.2,2.50,21685.5,27.15,3.73,101.25,,36,21721.5,52.43
Father Dragon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hand capture only — no extracted counterpart,D2,"AIR CRITICAL STRIKE II identified 2026-09-05 (the Royal Family named the tier: 50% x4). RESOLVED 2026-09-05: the trait is named ""Boss Assassin"" but TARGETS HEROES - the owner read ""boss assassin II (50% x8 against heroes)"" on a Royal Family tower. So the earlier boss-vs-hero ambiguity was the GAME conflating them, not a transcription slip. Both readings were right. DUAL crit (air AND boss) at 50% x4 each. 16.78 range-adjusted against either. Its 600 range is short for the kit. ",,1.00,,,,,,,,
Reaper Spawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hand capture only — no extracted counterpart,D2,"AIR CRITICAL STRIKE II identified 2026-09-05 (the Royal Family named the tier: 50% x4). CHAOS attack type - the kit's ONLY non-magic tower. In stock WC3 chaos deals full damage to every armour type, i.e. it ignores the matrix entirely; UNVERIFIED for this map. Melee, but DOES hit air when the flyer passes directly above it (owner 2026-09-05) - so it is a positional anti-air, not a blind spot. 23.90 raw dps/gold is among the best recorded, but it is unadjustable for range and demands exact placement under the flight path.",,1.00,,,,,,,,
