name,unit_id,tier,cost_gold,food,upgrades_from,upgrades_to,traits,targets,atk1_min,atk1_max,atk1_mean,atk1_cooldown,atk1_range,atk1_type,atk1_dps,atk1_dps_per_gold_range_adj,atk2_min,atk2_max,atk2_mean,atk2_cooldown,atk2_range,atk2_type,atk2_dps,atk2_dps_per_gold_range_adj,splash_targets,armour_type,armour_value,hp,cost_lumber,atk1_weapon,atk1_base,atk1_dice,atk1_sides,atk1_type_resolved,base_unit,abilities,tooltip,atk2_base,sources,obs_owner_label,obs_notes
Little Jack,h016,1,195,0,,Battleship Mackinaw,Tornado Shot; Ground Critical Strike I,"air,enemies,ground,nonancient",420,420,420.0,0.4,800,siege,1050.0,5.94,,,,,,,,,,,6,1500,0,missile,419,1,1,siege,hhou,"A028,A00Q,A003",Build Little Jack ( D ),,,D6,"SIEGE (owner 2026-09-06) - which matters: its TORNADO answers air, but its AUTOATTACK gets no air bonus, since siege is absent from the Light bonus list. The tornado is a SPELL, not a passive trait (owner 2026-09-05) - so it is NOT the same thing as the Royal Family High Priest's ""Judgement"" trait, despite both doing 100 dps vs air. An earlier note here claimed they were tiers of one trait; that is withdrawn. "
Battleship Mackinaw,h015,2,240,0,Little Jack,,Tornado Shot; Fortitude; ACbh; Slow Poison II,"air,enemies,ground,nonancient",3790,3795,3792.5,1.75,1000,siege,2167.1,12.45,,,,,,,,,,,10,2250,0,missile,3789,1,6,siege,hhou,"A00Q,A047,ACbh,A028,A008",U pgrade to Battleship Mackinaw,,,D6,"SIEGE (owner 2026-09-06) - the last treant attack type read, 15/15. Its 22.07 becomes 35.31 on FORTIFIED waves (3/8/13/18/23...), the highest figure recorded in this kit by a wide margin, and 18.76 on boss waves (85%). Confirms branch B as the Fortified powerhouse: Sewer Barge -> Brahma -> Little Jack -> Mackinaw is siege the whole way down. BASH II CONFIRMED 2026-09-05: the Royal Family Captain Bartlebee names it - 20%, +235, 2s stun, ground non-hero, identical to this tower. Note the chassis difference: on medium fire this yields ~40% stun uptime against Bartlebee's ~100% on very rapid. Stun uptime here is ~40% (medium fire) against Tyr Spirit's ~86%. THE kit's outlier: 22.07 range-adjusted, 2.5x the next best. 9.0x its own base's damage - the largest upgrade jump in the kit. Whether it keeps Little Jack's 35% x2 ground crit is UNSTATED, so these figures exclude it and are a FLOOR. Longest range in the kit (1000). Fire rate drops very rapid -> medium, which the dps already accounts for. CRIT TARGET AMBIGUOUS (owner 2026-09-05): recorded as ""boss"" but the owner reports sometimes writing boss where the tooltip said HERO. ""hero"" is a stock WC3 ARMOUR TYPE (observed on wave 5), so this may be a crit vs an armour type rather than vs a unit role. Efficiency figures are unaffected either way (same chance and multiplier); only WHAT IT APPLIES TO is in doubt. REVERIFY."
Ruby Scorpion,h021,1,450,0,,,Fortitude; Splash; Versatile Critical Strike I,"enemies,ground,nonancient",430,435,432.5,0.33,1000,siege,1310.6,4.02,,,,0.3,1000,pierce,,,"enemies,ground,nonancient",,11,3000,0,msplash,429,1,6,siege,hhou,"A047,A028,A021,A004",Build Ruby Scorpion ( F ),287,,D9,"SIEGE (owner 2026-09-06): 160% on Fortified, so its 5.78 becomes 9.25 there. CONVERGENCE TOWER: it needs Arcadia AND Mackinaw, i.e. both T2 branches taken to their ends. Reaching it costs 550g (air branch) + 570g (generalist branch) + 450g = 1570g. That reframes its 5.78 - you are not choosing it over other towers, you are receiving it for having built both branches out. POSSIBLE VERSATILE CRITICAL STRIKE: the Royal Family Captain Bartlebee carries ""Versatile Critical Strike (35% x2.5 vs ALL units)"" - identical chance and multiplier to this tower, but this one was recorded as vs ATTACKING, not vs all. Either the target was mis-transcribed, or these are different traits sharing numbers. NOT assumed either way. If it is Versatile, this tower is far better than its 5.78 suggests, since the crit would apply on every wave. VERIFY. Priciest base tower seen and STILL type-specialised. 5.78 vs its own type against Arcadia 23.90 for 250g. eff/g ignores durability, and this is high-durability + attacking-crit = built to survive the waves that destroy towers."
Stone Experiment,h022,1,225,0,,Frankenstone,Ground Splash; Ground Critical Strike I,"air,enemies,ground,nonancient",473,478,475.5,1.0,500,siege,475.5,1.46,,,,,,,,,"enemies,ground,nonancient",,7,2250,0,msplash,472,1,6,siege,hhou,"A028,A01W,A003",Build Stone Experiment ( Z ),,,D8,"SIEGE (owner 2026-09-06): 3.13 becomes 5.01 on Fortified. NOT A CHEAP TRAP - A CONVERGENCE TOWER. Reaching it costs ~1125g plus the specialist base, and it requires Little Jack AND Interceptor, which sit on OPPOSITE branches of the T2 fork - so you must build two Sewer Barges and take both. That makes the fork a matter of TIMING, never a permanent lockout. Earlier notes here called it the worst tower in the kit at 3.13 and advised skipping it; the 3.13 stands, but ""skip"" was the wrong frame for something you cannot reach early regardless. Upgrade is Frankenstone (300g). Rapid (not very rapid) and only 500 range - weak on both efficiency axes despite high raw damage. WAVE-GATED at 10 - pairs with Warpath at 20 on a 10-wave cadence."
Frankenstone,h023,2,300,0,Stone Experiment,,Machine Critical Strike; Regeneration; Ground Splash,"air,enemies,ground,nonancient",1126,1131,1128.5,0.9,500,siege,1253.9,2.88,,,,,,,,,"enemies,ground,nonancient",,8,2500,0,msplash,1125,1,6,siege,hhou,"A03Y,A03W,A028,A01W",U pgrade to Frankenstone,,,D8,"THE SKIP QUESTION IS SETTLED, and the answer is ""right conclusion, wrong reason"". At 7.41 range-adjusted (10.01 if it keeps the ground crit, unstated) it is well short of Mackinaw 22.07 and Arcadia 23.90, so buying INTO this line for damage was never correct. But Stone Experiment is a convergence tower you receive for building the rest of the tree anyway, and 300g to go 3.13 -> 7.41 is a fine upgrade once you have it. THE GAIN IS IN FIRE RATE, NOT DAMAGE: damage is x2.37 but the rate DOUBLES (rapid -> very rapid), while RANGE STAYS AT 500 so coverage remains a poor 0.69. PREDICTION POST-MORTEM: I modelled three damage multiples and said x9 would tie the best in the kit. The real multiple is x2.37 - but my error was holding the CHASSIS fixed. I varied damage and assumed speed and range would not move; speed doubled. SIEGE (owner 2026-09-06). Upgrade of Stone Experiment, 300g. No stats captured."
Warpath,h007,1,350,0,,Drunk Rock,Fortitude; Boss Assassin I; Ground Splash; Air Deficiency,"air,enemies,ground,nonancient",633,638,635.5,0.6,1000,siege,1059.2,4.17,,,,,,,,,"enemies,ground,nonancient",,11,3000,0,msplash,632,1,6,siege,hhou,"A047,A03D,A028,A01W,A009",Build Warpath ( X ),,,D10,"SIEGE (owner 2026-09-06). Gated behind the Stone Experiment line: needs Frankenstone, which needs Stone Experiment, which itself needs the specialist base and four towers. So Warpath sits at the end of the kit's longest single chain. WAVE-GATED unlock - the menu grows on a schedule, not only by spending. Stats not yet recorded."
Drunk Rock,h026,2,420,0,Warpath,,Fortitude; Uber Ground Splash; Air Deficiency,"air,enemies,ground,nonancient",1079,1084,1081.5,0.6,1100,siege,1802.5,6.51,,,,,,,,,"enemies,ground,nonancient",,12,3250,0,msplash,1078,1,6,siege,hhou,"A047,A028,A01X,A009",U pgrade to Drunk Rock,,,,"Appears ONLY as a Raiden requirement (owner 2026-09-06). Never otherwise seen - not in any build, not in any earlier list. The last unmapped node in the treant tree."
Raiden,h028,1,825,1,,Apocalypse,Splash; Air Critical Strike I,"air,enemies,ground,nonancient",2860,2865,2862.5,0.9,1200,magic,3180.6,6.38,,,,,,,,,"air,enemies,ground,nonancient",,10,3000,0,msplash,2859,1,6,magic,hhou,"A028,A021,A005",Build Raiden ( C ),,,D11,"MAGIC (owner 2026-09-06) - so the CAPSTONE breaks from the kit's siege identity, moving to 140% vs Light (air) and 75% vs Fortified. The capstone answers what the rest of the kit cannot. THE CAPSTONE, and it requires ESSENTIALLY THE WHOLE TREE: Phlogiston converges both T1 children, Ruby Scorpion converges both T2 branches, and Drunk Rock is a tower we have never otherwise seen. Priceable prerequisites come to 2605g, before Drunk Rock, the specialist base, or Raiden itself. Same shape as the Royal Family capstone (Astral Skibi, ~6389g path). Cost and stats unread."
Apocalypse,h027,2,800,1,Raiden,,Splash; Versatile Critical Strike I; Frost II; Calamity,"air,enemies,ground,nonancient",5050,5100,5075.0,1.1,1300,siege,4613.6,10.34,,,,,,,,,"air,enemies,ground,nonancient",,15,4000,0,msplash,5049,1,51,siege,hhou,"A028,A021,A004,A002,A00B",U pgrade to Apocalypse,,,,
Sewage Surprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hand capture only — no extracted counterpart,D2,"MAGIC (owner 2026-09-06), where its BASE Sewer Barge is siege - so attack type is NOT inherited on upgrade. Consequence: the upgrade gains everywhere except FORTIFIED, where siege 160% vs magic 75% leaves the base nearly as strong as its own upgrade (8.10 vs 5.92). Upgrading is a downgrade on 1 wave in 5. THE AIR BRANCH: this is the T2 upgrade that leads to Interceptor and Arcadia. Choosing the other branch (Brahma Fix It Shop) forfeits the treant's only passive air answer on that Sewer Barge. 'crit mecha like base' - the anti-mecha crit carries."
Brahma Fix It Shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hand capture only — no extracted counterpart,D2,"SIEGE (owner 2026-09-06) - and that sharpens the T2 fork: the air branch (Sewage Surprise) switches the line to MAGIC, while this branch KEEPS siege. So the fork is siege-stays vs magic-switch, not two arbitrary paths. Its 4.67 becomes 7.47 on Fortified. THE GENERALIST BRANCH: leads to Little Jack and Battleship Mackinaw (22.07 untyped, the kit's best all-purpose tower). The opposite branch leads to the air line. Support branch. Longest range in the captured kit (1100). 'same passive to crit unit' - target type not stated."
Giga Spikes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hand capture only — no extracted counterpart,D4,"SIEGE (owner 2026-09-06) - note its BASE Spike Shooter is CHAOS, so this upgrade CHANGES type, the second confirmed case after Sewer Barge -> Sewage Surprise. 4.95 becomes 7.92 on Fortified. RESOLVED 2026-09-05: the trait is named ""Boss Assassin"" but TARGETS HEROES - the owner read ""boss assassin II (50% x8 against heroes)"" on a Royal Family tower. So the earlier boss-vs-hero ambiguity was the GAME conflating them, not a transcription slip. Both readings were right. Upgrade of Spike Shooter. Keeps the anti-boss crit - 'same passive against boss', confirmed by the owner checking Giga Spikes directly (2026-09-03). Range jumps 600->900. "
Specialist Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hand capture only — no extracted counterpart,,"THE TREANT HAS A BASE UPGRADE TOO. Analogous to the Royal Family's Royal Base II, which is bought at the hero-selection building. So base upgrades are present in 2 of 3 captured kits - the Tempest Hawk, which has none, is the exception. Cost and purchase location unread."
