wave,slot,creature,hp,armour_value,armour_type,move_type,speed,gold_bounty_base,bounty_dice,bounty_sides,attack_type,atk_base,atk_range,abilities,unit_id,model,obs_notes
15,main,Skeletor,2993,7,hero,,315,2,0,0,siege,649,100,Apsh,e00D,units\undead\Skeleton\Skeleton.mdl,"Boss carries an ARMOUR AURA: 7+5=12, i.e. 29.6% -> 41.9% reduction, about +21% effective HP. Armour type OBSERVED — cycle 15/15, and the phase-lock holds (boss wave on Hero)."
15,a,Greater Lich,3399,8,hero,,400,2,0,0,siege,649,100,"ACmf,Apsh",e01X,units\undead\SkeletonMage\SkeletonMage.mdl,"Boss carries an ARMOUR AURA: 7+5=12, i.e. 29.6% -> 41.9% reduction, about +21% effective HP. Armour type OBSERVED — cycle 15/15, and the phase-lock holds (boss wave on Hero)."
16,main,Damned Traitor,3697,7,medium,,315,2,0,0,siege,649,100,A013,e00E,units\demon\ChaosWarlock\ChaosWarlock.mdl,"Armour type OBSERVED — cycle 16/16, a fourth cycle begins."
16,a,Mirage,3400,8,medium,,325,2,0,0,siege,649,100,"A013,ACm2",e021,units\human\BloodElfSpellThief\BloodElfSpellThief.mdl,"Armour type OBSERVED — cycle 16/16, a fourth cycle begins."
17,main,Murk Dweller,4291,8,large,,320,2,0,0,siege,649,100,,e00F,units\human\WaterElemental\WaterElemental.mdl,"Clean anchor that SETTLED the ramp: w13->w17 is 13.6%/wave, against 29% on w2->w13. Armour type OBSERVED — cycle 17/17."
17,a,Scary Fish,8657,9,large,,240,2,0,0,siege,649,100,,e02A,units\creeps\MurgulSlave\MurgulSlave.mdl,"Clean anchor that SETTLED the ramp: w13->w17 is 13.6%/wave, against 29% on w2->w13. Armour type OBSERVED — cycle 17/17."
18,main,Nether Arachnoid,4460,8,fort,,390,2,0,0,siege,649,100,Apsh,e00G,units\creeps\Nerubian\Nerubian.mdl,Armour type PREDICTED by the period-5 cycle (7/7 on observed waves); not read in game.
18,a,Nether Ambusher,5100,9,fort,,390,2,0,0,siege,11,350,,e01M,units\creeps\NerubianSpiderLord\NerubianSpiderLord.mdl,Armour type PREDICTED by the period-5 cycle (7/7 on observed waves); not read in game.
19,main,Chilled Owls,4200,9,small,fly,330,2,0,0,siege,649,100,,e00H,units\critters\SnowOwl\SnowOwl.mdl,HP DROPS vs wave 18 while armour RISES. Smaller can still be harder. Armour type PREDICTED by the period-5 cycle (7/7 on observed waves); not read in game.
19,a,Ice Spirit,4800,10,small,fly,375,2,0,0,siege,649,100,Apsh,e02B,units\creeps\RevenantOfTheWaves\RevenantOfTheWaves.mdl,HP DROPS vs wave 18 while armour RISES. Smaller can still be harder. Armour type PREDICTED by the period-5 cycle (7/7 on observed waves); not read in game.
20,main,Turtle Juggernaut,6300,9,hero,,,2,0,0,siege,799,100,,e00I,Units\Creeps\DragonSeaTurtle\DragonSeaTurtle.mdl,OUT-OF-SAMPLE VALIDATION: two-phase model predicted 6291 vs 6300 observed (100.1%). Boss = 3.68x trunk. Armour type PREDICTED by the period-5 cycle (7/7 on observed waves); not read in game.
20,a,Supreme Tortoise,7230,14,hero,,,2,0,0,siege,799,100,,e02H,Units\Creeps\DragonSeaTurtle\DragonSeaTurtle.mdl,OUT-OF-SAMPLE VALIDATION: two-phase model predicted 6291 vs 6300 observed (100.1%). Boss = 3.68x trunk. Armour type PREDICTED by the period-5 cycle (7/7 on observed waves); not read in game.
21,main,Flame Ogre,11500,10,medium,,450,5,0,0,siege,799,100,A013,e00J,units\creeps\OgreLord\OgreLord.mdl,"OVERSOUL, inferred: the owner's rule is that each oversoul pays DOUBLE and steps the baseline up by one. Wave 21 paid 6 and wave 23 settled at 3, which fits base 3 doubled. Composition not directly observed at this wave."
21,a,Fire Strider,13225,15,medium,,522,5,0,0,siege,799,100,A013,e025,units\demon\FelgaurdBlue\FelgaurdBlue.mdl,"OVERSOUL, inferred: the owner's rule is that each oversoul pays DOUBLE and steps the baseline up by one. Wave 21 paid 6 and wave 23 settled at 3, which fits base 3 doubled. Composition not directly observed at this wave."
22,main,Master Assassin,8141,10,large,,522,3,0,0,siege,799,100,,e00K,units\other\DranaiWhite\DranaiWhite.mdl,"OUT-OF-SAMPLE VALIDATION, 5 waves past the previous deepest run: the two-phase model predicted 8118 from the clean w17 anchor, observed 8141 = 100.3%. Armour type and value BOTH observed and both correct."
22,a,Shogun,9381,15,large,,320,1,0,0,siege,799,100,,e02F,units\orc\HeroBladeMaster\HeroBladeMaster.mdl,"OUT-OF-SAMPLE VALIDATION, 5 waves past the previous deepest run: the two-phase model predicted 8118 from the clean w17 anchor, observed 8141 = 100.3%. Armour type and value BOTH observed and both correct."
23,main,Enraged Wendigo,9910,11,fort,,,4,0,0,siege,12,100,,e00L,units\creeps\Wendigo\Wendigo.mdl,"Kill gold reads 3 - the new baseline after wave 21's oversoul stepped it up from 2. Not a fall from a spike. HP/armour both OBSERVED: the two-phase model predicted 9222 (7.5% under), armour value formula gives 11 (correct), cycle gives reforzada (correct, 23/23)."
23,a,Feral Wendigo,11443,16,fort,,375,4,0,0,siege,15,100,,e01N,units\creeps\WendigoShaman\WendigoShaman.mdl,"Kill gold reads 3 - the new baseline after wave 21's oversoul stepped it up from 2. Not a fall from a spike. HP/armour both OBSERVED: the two-phase model predicted 9222 (7.5% under), armour value formula gives 11 (correct), cycle gives reforzada (correct, 23/23)."
24,main,Bonus Box II,6523,11,small,fly,355,5,0,0,siege,799,100,,e00M,units\other\BloodElfWagon\BloodElfWagon.mdl,
24,a,Bonus Seafood II,6725,16,small,,360,5,0,0,siege,799,100,,e01P,units\critters\SpiderCrab\SpiderCrab.mdl,
25,main,Divine Forger,10262,12,hero,,325,3,0,0,siege,799,100,,e00N,units\creeps\GnollWarden\GnollWarden.mdl,
25,a,Iconocutioner,10568,13,hero,,360,3,0,0,siege,799,100,"A03A,ACev",e02G,units\creeps\HumanBattleship\HumanBattleship.mdl,
25,b,Great Protector,50000,50,hero,,,0,0,0,siege,799,100,,e02R,units\orc\StasisTotem\StasisTotem.mdl,
26,main,Brood Lizard,4865,12,medium,,370,2,0,0,siege,799,100,,e00O,units\creeps\ThunderLizardSalamander\ThunderLizardSalamander.mdl,"⚠️ ANOMALY - almost certainly NOT the trunk unit. The model predicts 13520 and this is 36% of it, while wave 22 came in at 100.3%, so the curve cannot have broken this fast. This is a ""flame, shedder"" wave and mixed waves carry several unit types with different HP - wave 14 (also shedder) had the owner record TWO figures, 2400 air and 3250 non-air. So 4865 is likely ONE unit type among several. WHICH one is unknown. EXCLUDED from any curve fitting. Armour value 12 and type media both OBSERVED and both correct."
26,a,Frenzied Lizard,4746,13,medium,,500,2,0,0,siege,799,100,A013,e01O,units\creeps\ThunderLizardVizier\ThunderLizardVizier.mdl,"⚠️ ANOMALY - almost certainly NOT the trunk unit. The model predicts 13520 and this is 36% of it, while wave 22 came in at 100.3%, so the curve cannot have broken this fast. This is a ""flame, shedder"" wave and mixed waves carry several unit types with different HP - wave 14 (also shedder) had the owner record TWO figures, 2400 air and 3250 non-air. So 4865 is likely ONE unit type among several. WHICH one is unknown. EXCLUDED from any curve fitting. Armour value 12 and type media both OBSERVED and both correct."
26,b,King Lizard,13500,13,medium,,250,1,0,0,siege,799,100,"ACrn,SCae",e02I,units\creeps\ThunderLizardVizier\ThunderLizardVizier.mdl,"⚠️ ANOMALY - almost certainly NOT the trunk unit. The model predicts 13520 and this is 36% of it, while wave 22 came in at 100.3%, so the curve cannot have broken this fast. This is a ""flame, shedder"" wave and mixed waves carry several unit types with different HP - wave 14 (also shedder) had the owner record TWO figures, 2400 air and 3250 non-air. So 4865 is likely ONE unit type among several. WHICH one is unknown. EXCLUDED from any curve fitting. Armour value 12 and type media both OBSERVED and both correct."
27,main,Sporadic Asp,11868,13,large,,375,4,0,0,siege,799,100,,e00P,units\critters\DuneWorm\DuneWorm.mdl,"MAX FOOD RISES TO 4 (owner), ceiling 5 - so the food cap is itself wave-gated. Armour value 13 and type pesada both OBSERVED and correct (27/27). HP is 77% of the model projected from wave 22, implying 7.8%/wave over that span against the model 13.6% - but this is a ""death's rage"" wave, so not a clean trunk reading."
27,a,Sayonara Mecha,13818,18,large,,345,4,0,0,siege,799,100,,e02M,Units\Creeps\HeroTinker\HeroTinker.mdl,"MAX FOOD RISES TO 4 (owner), ceiling 5 - so the food cap is itself wave-gated. Armour value 13 and type pesada both OBSERVED and correct (27/27). HP is 77% of the model projected from wave 22, implying 7.8%/wave over that span against the model 13.6% - but this is a ""death's rage"" wave, so not a clean trunk reading."
28,main,Demised Spirit,12542,7,fort,,380,4,0,0,siege,799,100,,e00Q,units\creeps\VoidWalker\VoidWalker.mdl,"⚠️ MODIFIER-CAUSED ARMOUR DIP (resolved at wave 29, where the formula resumes correctly): floor((28-1)/2) gives 13, observed 7. And it DROPPED from wave 27's 13, rather than failing to rise. Wave 28 is ""valor of the dead"", so either that modifier lowers armour or this is a different unit type. The armour TYPE cycle is unaffected and still correct at 28/28. HP is 72% of the model projected from wave 22 - the third of the last four readings in the 72-77% band, which is starting to look like a third slower phase rather than modifier noise."
28,a,Ethereal Wraith,14632,14,fort,,380,4,0,0,siege,18,,ACev,e01R,units\creeps\VoidWalker\VoidWalker.mdl,"⚠️ MODIFIER-CAUSED ARMOUR DIP (resolved at wave 29, where the formula resumes correctly): floor((28-1)/2) gives 13, observed 7. And it DROPPED from wave 27's 13, rather than failing to rise. Wave 28 is ""valor of the dead"", so either that modifier lowers armour or this is a different unit type. The armour TYPE cycle is unaffected and still correct at 28/28. HP is 72% of the model projected from wave 22 - the third of the last four readings in the 72-77% band, which is starting to look like a third slower phase rather than modifier noise."
29,main,Deformed Witches,9429,14,small,fly,385,4,0,0,siege,799,100,,e00R,units\creeps\HarpyQueen\HarpyQueen.mdl,"ARMOUR VALUE FORMULA RESUMES: floor(28/2)=14, observed 14. So wave 28's 7 was the ""valor of the dead"" modifier, not a broken rule - the formula is intact except for that one modifier-caused miss. Armour type not read; the cycle and the air schedule both predict ligera. HP: this is an air wave (~76% of trunk), and the observation fits the SLOWER 7.5% rate within 8% while the 13.6% model is 12% off - another point for a third, slower phase, this time on a wave whose discount is independently established."
29,a,Dragon Immortal,11023,15,small,fly,385,4,0,0,siege,799,100,Aegr,e02C,units\creeps\AzureDragon\AzureDragon.mdl,"ARMOUR VALUE FORMULA RESUMES: floor(28/2)=14, observed 14. So wave 28's 7 was the ""valor of the dead"" modifier, not a broken rule - the formula is intact except for that one modifier-caused miss. Armour type not read; the cycle and the air schedule both predict ligera. HP: this is an air wave (~76% of trunk), and the observation fits the SLOWER 7.5% rate within 8% while the 13.6% model is 12% off - another point for a third, slower phase, this time on a wave whose discount is independently established."
30,main,Dog of War,11848,14,hero,,390,4,0,0,siege,799,100,,e00S,units\orc\Spiritwolf\Spiritwolf.mdl,"Armour value 14 and type hero both OBSERVED and correct (30/30 on the cycle). Boss 47625 = 4.02x the same-wave regular unit, consistent with the ~4x ratio seen at waves 5/10/15/20."
30,a,Shadow Wolf,13879,15,hero,,260,4,0,0,siege,799,100,,e02N,units\creeps\DireWolf\DireWolf.mdl,"Armour value 14 and type hero both OBSERVED and correct (30/30 on the cycle). Boss 47625 = 4.02x the same-wave regular unit, consistent with the ~4x ratio seen at waves 5/10/15/20."
31,main,Hellfire Bug,12605,15,medium,,420,3,0,0,siege,799,100,A013,e00X,units\undead\scarab\scarab.mdl,
31,a,Fire Ant,14796,16,medium,,420,5,0,0,siege,799,100,A013,e026,Units\Critters\zergling\zergling.mdl,
32,main,Sacrificial Chosen,9853,15,large,,400,5,0,0,siege,16,100,ACrn,e00W,units\nightelf\HeroKeeperoftheGroveGhost\HeroKeeperoftheGroveGhost.mdl,
32,a,Elite Evil,2500,16,large,,200,5,0,0,siege,18,100,ACmf,e02O,units\undead\HeroLich\HeroLich_V1.mdl,
33,main,Hangman's Oak,35842,16,fort,,485,10,0,0,siege,799,100,,e00V,buildings\demon\CorruptedTreeofLife\CorruptedTreeofLife.mdl,"OVERSOUL - and this wave QUANTIFIES the modifier for the first time. HP is 3.03x wave 30 in three waves, which no trunk rate explains. Against a projected trunk it is a 1.5-2.0x multiplier depending on the rate assumed; the earlier oversoul at wave 12 read 1.62x. So oversoul is roughly a 1.6-2.0x HP multiplier ON TOP of doubling kill gold and stepping the gold baseline - one authored beat doing three jobs. NOT usable as evidence about the trunk rate, being the most heavily modified wave type. Armour value 16 and type reforzada both OBSERVED and correct (33/33)."
33,a,Tree of Ill Omen,63579,17,fort,,522,15,0,0,siege,799,100,Aap4,e02P,buildings\demon\CorruptedAncientProtector\CorruptedAncientProtector.mdl,"OVERSOUL - and this wave QUANTIFIES the modifier for the first time. HP is 3.03x wave 30 in three waves, which no trunk rate explains. Against a projected trunk it is a 1.5-2.0x multiplier depending on the rate assumed; the earlier oversoul at wave 12 read 1.62x. So oversoul is roughly a 1.6-2.0x HP multiplier ON TOP of doubling kill gold and stepping the gold baseline - one authored beat doing three jobs. NOT usable as evidence about the trunk rate, being the most heavily modified wave type. Armour value 16 and type reforzada both OBSERVED and correct (33/33)."
34,main,Animated Sphinx,12013,16,small,fly,400,5,0,0,siege,799,100,,e00U,units\undead\ObsidianStatue\ObsidianStatue.mdl,
34,a,Rydik's Statue,23456,17,small,fly,175,2,0,0,siege,799,100,,e01U,units\undead\ObsidianStatue\ObsidianStatue.mdl,
35,main,Vampire,21000,17,hero,,425,5,0,0,siege,799,100,,e00T,units\undead\HeroDreadLord\HeroDreadLord.mdl,
35,a,Mummified Stalker,24500,18,hero,,220,5,0,0,siege,799,100,,e02K,units\creeps\Zombie\Zombie.mdl,
36,main,Soulless Fiend,26374,17,medium,,430,5,0,0,siege,799,100,,e011,units\demon\DoomGuard\DoomGuard.mdl,
36,a,Bad Seed,1,,medium,,522,2,0,0,siege,799,100,"A02V,A013,Assk",e01S,units\demon\DoomGuard\DoomGuard.mdl,
36,b,Angel Executioner,31272,18,medium,,450,5,0,0,siege,799,100,Aegr,e02T,units\other\DranaiWhite\DranaiWhite.mdl,
37,main,Ancient Crab,28632,18,large,,435,5,0,0,siege,799,100,ACrk,e012,Units\Creeps\Lobstrokkgreen\Lobstrokkgreen.mdl,
37,a,Valiant Crustacean,34018,13,large,,,5,0,0,siege,799,100,,e02U,Units\Creeps\Lobstrokkred\Lobstrokkred.mdl,
38,main,Adrenalized Hiresword,33954,18,fort,,465,5,0,0,siege,24,100,,e013,units\demon\ChaosHellscream\ChaosHellscream.mdl,
38,a,Fire Lord,23568,19,fort,,390,3,0,0,siege,25,,,e02D,Units\Creeps\HeroFlameLord\HeroFlameLord.mdl,
38,b,Lava Spawn,21357,19,fort,,420,1,0,0,siege,799,100,,e02E,Units\Creeps\LavaSpawn\LavaSpawn.mdl,
39,main,Indomitable Sky Barge,35806,19,fort,fly,,10,0,0,siege,799,100,Assk,e014,units\creeps\GoblinZeppelin\GoblinZeppelin.mdl,
39,a,Super Evil Eagle,62450,20,small,fly,380,10,0,0,siege,799,100,Assk,e00Z,units\nightelf\DruidoftheTalon\DruidoftheTalon.mdl,
40,main,The Unfaithful,36822,19,hero,,485,5,0,0,siege,999,100,A013,e001,units\undead\Necromancer\Necromancer.mdl,
40,a,Acolyte of Flame,88024,20,hero,,250,5,0,0,siege,999,100,A013,e016,units\human\Kael\Kael.mdl,
41,main,Evil One's Fingers,55000,20,medium,,435,5,0,0,siege,999,100,,e015,Units\Creeps\ForgottenOne\ForgottenOneTent.mdl,
41,a,Evil One's Machines,62500,21,,,375,5,0,0,siege,999,100,,e01H,Units\Creeps\HeroTinkerRobot\HeroTinkerRobot.mdl,
42,main,Gorishi Warrior,90000,25,large,,335,10,0,0,siege,999,100,A013,e017,Units\Creeps\FacelessOne\FacelessOne.mdl,
42,a,Anti-Nova,75000,15,large,,375,5,0,0,siege,999,100,A013,e027,Abilities\Spells\Undead\UnholyFrenzy\UnholyFrenzyTarget.mdl,
43,main,Æther Storm,250000,100,,,,1,0,0,siege,999,100,"AEev,A013",e01J,Abilities\Spells\Other\Tornado\TornadoElemental.mdl,
43,a,The Last Samurai,175000,100,,,,1,0,0,siege,999,100,"AEev,ACm2,A013",e02X,units\orc\HeroBladeMaster\HeroBladeMaster.mdl,
44,main,Miasma Ghost,7500,5,fort,,295,1,0,0,siege,999,100,A00E,e01I,Abilities\Spells\Undead\Possession\PossessionMissile.mdl,
44,a,Arioch's Warbird,24531,5,small,fly,235,1,0,0,siege,999,100,"Aegr,Apsh",e02W,units\human\BloodElfDragonHawk\BloodElfDragonHawk.mdl,
