trait,ability_id,defined_in_map,description,hotkey,passive,towers_using,example_towers,notes
Thresh Arrow (ACca),ACca,yes,"When Havocwing attacks, she tightens the pressure her bow and releases it in a blazing path. |nThe attack strikes enemies in a line for 475 damage.",,,1,Havocwing,
Healing Aura (ACce),ACce,yes,The Village Medic heals himself and nearby friendly towers for 2 hitpoints a second. Radius measured in game as under 800 (owner 2026-09-10); the tooltip states none.,,,1,Village Medic,
Hunter's Fervor (ACcl),ACcl,yes,Hurls a devastating ray of power that ricochets off the first foe and strikes 14 others at 5% less power. Deals 3000 on the first strike.,,,2,Mercurial Predator; Unrivaled Destroyer,
Winter's Bite (ACcw),ACcw,yes,"Adds 54 cold damage to an attack and slows target, but drains mana with each shot fired.",,,1,Aspect of Cold,
Empathic Fix (AChv),AChv,yes,"The unselfish Tinker ""Brahma"" attempts to fix a friendly tower for all its damage, but in the process damages his Shop for (1.5 * damage). This penalty is not applied if this spell is used to fix another Brahma Shop. |n|nThis spell will never take Brahma's Shop below 150 life.",,,1,Brahma's Fix-it Shop,
Fury of the Gods (ACmo),ACmo,yes,Calls down a storm of lightning to strike enemy units for 580 damage in a target area. |nLasts 10 seconds.,,,1,Kazaana,
Moon Stone Cannon (ACsh),ACsh,yes,Matter evaporates when the potent forces of this attack strikes flesh. Deals 1250 damage to units in a line. Very fast cooldown.,,,1,Delphinus,
Vampiric Aura (ACvp),ACvp,yes,Vampiric Aura (Passive),,yes,1,Reaperspawn,
Starburst (AEsf),AEsf,yes,Calls down waves of falling stars that damage nearby enemy units in a huge radius. Each wave deals 1200 damage. |nCooldown = 15 seconds.,,,1,Star Buster,
Life Boon (AEtq),AEtq,yes,"Heals 30 HP per second for 30 seconds — 900 HP total. The map names this ability but leaves its description EMPTY, so the owner's in-game read (2026-09-10) is the only source.",,,1,General Ninpou,
Sunder Armor (Afbb),Afbb,yes,Heartseeker attacks have a chance to reduce the victim's armor by 3. This effect stacks up to 3 times.,,,1,Heartseeker,
Frost I (Afra),Afra,yes,Adds a cold effect to this unit's attacks that slows enemy units' movement speed for a short period of time,,,8,Shinobi; Orobos Slave; Impervious Armor,
Stone Cold (Afrz),Afrz,yes,"Costs 175 mana per attack, else Von Chillspeak will stop.|n|nVon Chillspeak's attacks freeze a target enemy for 6.5 seconds. During that time the enemy cannot move or attack.",,,1,Von Chillspeak,
Toughness Aura I (AHad),AHad,yes,Gives 2 additional armor to nearby friendly towers.|nThis aura stacks with Toughness Aura II.,,,1,Protection Ward,
Divine Shield (AHds),AHds,yes,Divine Shield,D,,2,Lilianna Mai; Astral Skibi,
Kiss of Flame (AHfa),AHfa,yes,"Adds 83 bonus fire damage to an attack against enemies, but drains mana with each shot fired.",,,1,Aspect of Fire,
Area Cure (AIha),AIha,yes,"Heals <AIha,DataA1> hit points to all friendly structures around the caster when used.",,,1,Magical Breakthrough,
Electrify (AIhb),AIhb,yes,Restores this tower's spell cooldown.,,,4,Aspect of Lightning; Electrocutioner; Blood Wraith,
Cold Snap (AIm2),AIm2,yes,Restores this tower's MP completely.,,,5,Aspect of Cold; Arctic Blaster; Chilly Bit Striker,
AIva,AIva,yes,,,,2,Heartseeker; Chibidevil,
Phoenix Income (Amgl),Amgl,yes,You gain 1 gold for controlling this Phoenix Spawn after every Wave.,,,1,Phoenix Spawn,
Phoenix Fire (Amgr),Amgr,yes,"Fires a stream of flame, lighting the primary target enemy on fire and burns it over time. Deals 50 damage a second for 5 seconds.",,,1,Judgement Fire,
Scald (ANbf),ANbf,yes,"Erupt a cone of fire at enemy units, dealing 110 damage. Max damage = 660.",,,1,Scalding Tower,
Bash I (ANbh),ANbh,yes,Gives a 20% chance that an attack will do 50 bonus damage and stun a non-hero ground creep for 1.5 seconds.,,,6,Myrkridon Trow; Insurrectionist Trow; Equipped Peasant 5,
Chilly Bits Grade Peorth (ANc1),ANc1,yes,"Bombards an area with pure chaos, stunning enemies within an area for 1 second and dealing up to 800 damage.",,,1,Chilly Bit Striker,
Upon Death - Unstable Flux (ANca),ANca,yes,"Upon death, the Unstable Flux banishes nearby enemies for 12 seconds. |n|nBanish turns enemies ethereal and slows their movement speed by 50% for 12 seconds. Ethereal creatures cannot attack, but they can cast spells and certain spells cast upon them will have a greater effect.",,,1,Unstable Flux,
Activate / Deactivate Mana Detection (ANcl),ANcl,yes,Toggles the mana bar display for this tower.,,,15,Aspect of Cold; Arctic Blaster; Aspect of Fire,
Super Shock (ANfd),ANfd,yes,Deals 18000 damage to target and completely heals the Blood Wraith.,,,1,Blood Wraith,
Forked Lightning (ANfl),ANfl,yes,"Calls forth a cone of lightning at a target enemy unit, hitting up to <ANfl,DataB1> enemy units for <ANfl,DataA1> damage.",F,,1,Electrocutioner,
Healing Wave (ANhw),ANhw,yes,"Calls forth a wave of healing energy that bounces up to <ANhw,DataB1> times, healing <ANhw,DataA1> damage on the primary target.",e,,2,K Dig; Xavier,
Burnify (ANic),ANic,yes,"Costs 6 mana per attack, else the Duke will stop.|n|nEach attack made is enhanced with living flames that cling to the target. These flames add <ANic,DataA1> damage on the first attack, twice as much on the second attack, three times as much on the third attack, etc.|n|nIf a unit dies while under this effect, it is incinerated, causing up to <ANic,DataB1> damage to all nearby hostile units.",,,1,Duke Burnify,
Electromagnetic Aura (AOr2),AOr2,yes,Decreases nearby non-boss enemy units' movement speed and attack rate by 5%.,,,1,Unstable Flux,
Apxf,Apxf,yes,,,,1,Judgement Fire,
Fire Volley (Aroc),Aroc,yes,"Costs 6 mana per attack, else the Hydra will stop.|n|nThe fire hydra's attacks strike multiple enemies for 355 damage, maximum 1065 damage.",,,1,Fire Hydra,
Arpm,Arpm,yes,"Restores <Arpm,DataB1> mana to nearby friendly units in a 250 radius.",,,1,Mana Well,
Slow Poison I (Aspo),Aspo,yes,"A poison attack that deals 4 damage per second, and slows the target organic enemy's movement by 25%.|n|nAll poison types stacks with each other.",,,16,Spear Guard; Myrkridon Trow; War Beast,
Upon Death - Mana Well (Asth),Asth,yes,"Upon death, the Mana Well will heal all nearby towers for 1000 HP.",,,1,Mana Well,
Upon Death - Phoenix (Atru),Atru,yes,"Upon death, the Phoenix Spawn damages nearby enemies for 250 damage times the number of controlled Fire Reagents. This damage is not prevented by armor or abilities.",,,1,Phoenix Spawn,
Foxfire Laser (AUcs),AUcs,yes,"Upon acquiring an enemy target, the Foxfire Laser will channel a ball of destructive energy inside itself and release it at violent speeds. |nThe attack strikes enemies in a line for 290 damage for a maximum of 5800.",,,1,Foxfire Laser,
Improved Glacial Spike (S000),S000,yes,Increases the attack speed of Glacial Spikes by 30%.,,,1,Glacial Spike,
Improved Ward (S001),S001,yes,Increases the attack speed of this Ward by 20%.,,,4,Sapphire Ward; Purity Ward; Lilac Ward,
